Time,Cars_inside,Total_spaces,Free_spaces,Air_value,Gate_status
11:50:44,6,10,4,35,ALLOW
11:50:45,6,10,4,35,ALLOW
11:50:46,6,10,4,35,ALLOW
11:50:47,6,10,4,35,ALLOW
11:50:48,6,10,4,35,ALLOW
11:50:49,6,10,4,35,ALLOW
11:50:50,6,10,4,34,ALLOW
11:50:51,6,10,4,35,ALLOW
11:50:52,6,10,4,35,ALLOW
11:50:53,6,10,4,35,ALLOW
11:50:53,6,10,4,35,ALLOW
11:50:54,6,10,4,35,ALLOW
11:50:56,6,10,4,35,ALLOW
11:50:57,6,10,4,36,ALLOW
11:50:58,6,10,4,35,ALLOW
11:50:59,6,10,4,35,ALLOW
11:51:00,6,10,4,35,ALLOW
11:51:01,6,10,4,36,ALLOW
11:51:02,6,10,4,36,ALLOW
11:51:03,6,10,4,35,ALLOW
11:51:04,6,10,4,35,ALLOW
11:51:05,6,10,4,36,ALLOW
11:51:06,6,10,4,36,ALLOW
11:51:07,6,10,4,36,ALLOW
11:51:08,6,10,4,35,ALLOW
11:51:09,6,10,4,35,ALLOW
11:51:10,6,10,4,35,ALLOW
11:51:11,6,10,4,35,ALLOW
11:51:12,6,10,4,35,ALLOW
11:51:13,6,10,4,35,ALLOW
11:51:14,6,10,4,34,ALLOW
11:51:15,6,10,4,35,ALLOW
11:51:16,6,10,4,35,ALLOW
11:51:17,6,10,4,35,ALLOW
11:51:18,6,10,4,35,ALLOW
11:51:19,6,10,4,35,ALLOW
11:51:20,6,10,4,35,ALLOW
11:51:21,6,10,4,35,ALLOW
11:51:22,6,10,4,35,ALLOW
11:51:23,6,10,4,35,ALLOW
11:51:24,6,10,4,35,ALLOW
11:51:25,6,10,4,35,ALLOW
11:51:26,6,10,4,35,ALLOW
11:51:26,6,10,4,35,ALLOW
11:51:27,6,10,4,34,ALLOW
11:51:28,6,10,4,34,ALLOW
11:51:29,6,10,4,34,ALLOW
11:51:31,6,10,4,35,ALLOW
11:51:32,6,10,4,35,ALLOW
11:51:33,6,10,4,34,ALLOW
11:51:34,6,10,4,35,ALLOW
11:51:35,6,10,4,34,ALLOW
11:51:36,6,10,4,35,ALLOW
11:51:37,6,10,4,34,ALLOW
11:51:38,6,10,4,35,ALLOW
11:51:39,6,10,4,35,ALLOW
11:51:40,6,10,4,35,ALLOW
11:51:41,6,10,4,35,ALLOW
11:51:42,6,10,4,35,ALLOW
11:51:43,6,10,4,35,ALLOW
11:51:44,6,10,4,35,ALLOW
11:51:45,6,10,4,35,ALLOW
11:51:46,6,10,4,35,ALLOW
11:51:47,6,10,4,35,ALLOW
